n,average time
10.0, 303450.0
110.0, 299880.0
210.0, 185020.0
310.0, 250020.0
410.0, 53060.0
510.0, 48780.0
610.0, 47660.0
710.0, 53450.0
810.0, 50460.0
910.0, 51540.0
1010.0, 97390.0
1110.0, 99110.0
1210.0, 77870.0
1310.0, 87850.0
1410.0, 93960.0
1510.0, 67310.0
1610.0, 46990.0
1710.0, 34820.0
1810.0, 57500.0
1910.0, 65960.0
2010.0, 42020.0
2110.0, 32460.0
2210.0, 29300.0
2310.0, 45120.0
2410.0, 40130.0
2510.0, 44320.0
2610.0, 81410.0
2710.0, 62160.0
2810.0, 80860.0
2910.0, 80310.0
3010.0, 81830.0
3110.0, 93590.0
3210.0, 29200.0
3310.0, 12370.0
3410.0, 15770.0
3510.0, 13870.0
3610.0, 12240.0
3710.0, 15790.0
3810.0, 30440.0
3910.0, 23420.0
4010.0, 15300.0
4110.0, 12030.0
4210.0, 11830.0
4310.0, 25120.0
4410.0, 31580.0
4510.0, 30490.0
4610.0, 32630.0
4710.0, 25950.0
4810.0, 47980.0
4910.0, 34370.0
5010.0, 30740.0
5110.0, 27080.0
5210.0, 27520.0
5310.0, 25780.0
5410.0, 27160.0
5510.0, 25350.0
5610.0, 26700.0
5710.0, 24560.0
5810.0, 30530.0
5910.0, 26780.0
6010.0, 29280.0
6110.0, 30150.0
6210.0, 31810.0
6310.0, 27590.0
6410.0, 15940.0
6510.0, 11800.0
6610.0, 16100.0
6710.0, 16270.0
6810.0, 16570.0
6910.0, 19700.0
7010.0, 18790.0
7110.0, 21220.0
7210.0, 11970.0
7310.0, 14760.0
7410.0, 14060.0
7510.0, 26700.0
7610.0, 12720.0
7710.0, 15020.0
7810.0, 12240.0
7910.0, 12470.0
8010.0, 17490.0
8110.0, 16610.0
8210.0, 12600.0
8310.0, 16400.0
8410.0, 14440.0
8510.0, 10860.0
8610.0, 12940.0
8710.0, 12230.0
8810.0, 10850.0
8910.0, 11610.0
9010.0, 12470.0
9110.0, 12040.0
9210.0, 14000.0
9310.0, 18650.0
9410.0, 18040.0
9510.0, 11170.0
9610.0, 11000.0
9710.0, 17870.0
9810.0, 13670.0
9910.0, 12140.0
